serial_scrambled	BSA21_final_wt	DVSex21	Ragecat	HHincomex	RClassGP	hedqual2x	MarStat6x	HhlChlGpdx	PMSx	HomoSexx	Partyfwx	Politicsx	Votedx	Spend1x	dolex	TAXSPENDx	EQOPPGAYx	EQOPPTx	CHOPWOMMx	EQOPPBLKx	TBirCertx	EqOpDisx	EqOpMhx	welfare2	leftrigh	libauth	NHSSatx	GPSatx	NHSFProbx	NHSAccx
1039072	.300635801586181	2	6	2	2	1	4	2	5	5	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	2	1.4	2.83333333333333	-1	-1	-1	-1
1034181	1.18009511212053	1	2	1	8	3	4	1	5	5	5	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	8	3.125	3	3	-1	-1	-1	-1
1002211	2.38858638209591	1	4	9	5	2	1	2	5	5	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	8	9	9	9	-1	-1	-1	-1
1002212	2.92895662707799	2	4	9	1	3	1	2	5	5	 	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	8	2.5	2.4	3.66666666666667	-1	-1	-1	-1
1019121	.25673295519513	2	7	2	1	2	1	2	5	5	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	3.125	2.4	3.66666666666667	-1	-1	-1	-1
1019122	.925614432586144	1	7	3	1	2	1	2	5	5	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	2.125	3.4	3.83333333333333	-1	-1	-1	-1
1011111	1.22356535587934	1	7	9	1	3	3	2	3	8	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	8	2.625	2.4	3.33333333333333	-1	-1	-1	-1
1035311	2.10761842088461	2	2	4	1	2	1	1	1	1	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	3.75	4.4	2.83333333333333	-1	-1	-1	-1
1043021	1.02295809645078	1	7	2	1	1	1	2	5	5	3	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	4	2	2.2	1.83333333333333	-1	-1	-1	-1
1008731	.731307479430903	1	7	2	1	2	3	2	5	5	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	3.5	3.8	3.5	-1	-1	-1	-1
1013531	.827989924208437	1	7	1	2	3	1	2	3	3	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	8	3.75	3.2	3.16666666666667	-1	-1	-1	-1
1033711	.225727709081782	2	7	3	1	1	1	2	5	4	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	2.25	2.2	2	-1	-1	-1	-1
1033712	.813829413872894	1	7	3	2	2	1	2	5	5	3	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	3.375	2.6	3.16666666666667	-1	-1	-1	-1
1043911	1.43437975838639	2	4	2	3	3	2	2	5	5	3	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	2.875	3.2	2.83333333333333	-1	-1	-1	-1
1024501	.278492737027022	2	6	4	1	1	1	2	5	5	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	2	2.2	2.33333333333333	-1	-1	-1	-1
1005431	1.60314452031827	2	2	1	5	4	4	2	5	5	4	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	4	1.625	1.8	4.16666666666667	-1	-1	-1	-1
1044731	.51143696902848	2	3	3	1	1	2	2	5	5	1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	3.75	2.4	3.83333333333333	-1	-1	-1	-1
1025091	.61843089430082	2	3	4	1	1	1	2	5	5	3	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	2.25	2.6	2.5	-1	-1	-1	-1
1013122	.32998461702801	1	6	9	1	1	1	2	3	2	 	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	3.25	3.4	3.5	-1	-1	-1	-1
1030851	1.66407496004096	1	6	1	1	3	1	1	4	3	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	4	3	2.6	3.33333333333333	-1	-1	-1	-1
1030811	.542061365767273	1	2	2	1	1	4	2	5	5	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	3	2.4	3.66666666666667	-1	-1	-1	-1
1041511	.398590978857504	2	5	4	1	1	4	2	5	5	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	2.25	2.2	2.33333333333333	-1	-1	-1	-1
1003111	.954849622326307	1	7	3	1	4	1	2	5	5	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	8	3.625	2	3.66666666666667	-1	-1	-1	-1
1019731	.790081137749312	1	3	9	1	1	1	1	5	5	1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	3.375	2.4	3.16666666666667	-1	-1	-1	-1
1027281	.293660002534853	1	2	2	5	1	4	2	5	5	1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	3	3.4	3	-1	-1	-1	-1
1041111	.302275109763613	1	5	9	5	1	1	2	5	5	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	2.875	3	3.83333333333333	-1	-1	-1	-1
1041112	.47388561834281	2	5	2	1	1	1	2	5	5	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	2	4.125	4	3.33333333333333	-1	-1	-1	-1
1008871	.387229358292046	1	1	2	1	1	4	2	5	5	6	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	5	1.125	1	1.33333333333333	-1	-1	-1	-1
1011861	1.973412965078	1	3	9	4	2	1	1	5	5	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	3.625	4	4.16666666666667	-1	-1	-1	-1
1009031	.764073226556783	2	3	3	1	1	1	1	5	5	6	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	2.75	1.8	2.5	-1	-1	-1	-1
1009032	.572481895028803	1	2	3	1	1	1	1	5	5	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	4	2.875	2.2	3.16666666666667	-1	-1	-1	-1
1048111	.344981785246224	1	7	3	1	1	1	2	4	5	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	1.5	1.4	2.33333333333333	-1	-1	-1	-1
1013191	1.99179890337387	1	2	1	1	3	4	1	1	3	5	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	3	2.375	3.6	2.66666666666667	-1	-1	-1	-1
1032061	.237831546737132	2	5	2	1	2	2	2	5	5	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	5	1.125	1.4	1.83333333333333	-1	-1	-1	-1
1032301	.491159900224455	1	2	2	1	1	4	2	5	5	5	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	2.375	2.2	3.66666666666667	-1	-1	-1	-1
1028891	.682733248682388	1	3	2	2	2	1	2	5	5	5	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	3.5	3	4.83333333333333	-1	-1	-1	-1
1028892	.7879152757849	2	5	2	5	2	1	2	5	2	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	4.125	3	4.66666666666667	-1	-1	-1	-1
1045031	1.27734945413559	2	6	4	4	3	1	2	5	5	5	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	2.625	2	3.33333333333333	-1	-1	-1	-1
1045032	1.20729263603919	1	6	1	5	3	1	2	4	3	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	4	3	3.4	3.83333333333333	-1	-1	-1	-1
1040781	1.05260487889977	2	7	3	1	2	1	2	5	5	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	5	2.6	4.33333333333333	-1	-1	-1	-1
1045861	.578525630966107	1	4	9	1	1	1	2	5	5	3	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	3.375	1.6	3.16666666666667	-1	-1	-1	-1
1045862	.661705698291757	2	5	4	8	2	1	2	5	5	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	3	3.125	2.6	4.16666666666667	-1	-1	-1	-1
1026101	2.89472469591767	1	1	9	6	2	4	2	5	5	6	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	5	1.875	1.2	2.5	-1	-1	-1	-1
1026102	2.89472469591767	1	1	9	6	2	4	2	5	5	5	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	3.25	3.2	3.33333333333333	-1	-1	-1	-1
1042521	.23212960783085	2	6	2	1	1	2	2	5	5	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	2.75	2	2.83333333333333	-1	-1	-1	-1
1034431	.345702591799748	1	4	3	2	1	1	1	3	5	5	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	2.875	4	2.5	-1	-1	-1	-1
